[setCountry, getClass, getCountry, getDeveloper, getTags, setItemCondition, setUserRecordType, setYourPrice, setNotes, setCreatedAt, getCreatedAt, getUserRecordType, getTitle, setCategory, getGame, getPriceCIB, getParameter, getBoxCondition, setPlatform, getReleaseType, getItemCondition, getCategory, setTitle, getManualCondition, getOwnership, getPriceLoose, setPublisher, getPriceNew, wait, notifyAll, getPricePaid, setTags, notify, getNotes, hashCode, setManualCondition, getGameExact, setPriceCIB, getYourPrice, setReleaseType, setOwnership, setPriceNew, getPublisher, setPriceLoose, equals, getParameters, setPricePaid, setDeveloper, toString, setBoxCondition, getPlatform]
"Microsoft Xbox 360","Games","Owned","Call of Duty 4: Modern Warfare [Platinum Hits]","United States of America","Official","Activision","Infinity Ward","Jan 16 2022","CIB","6.29","8.88","21.9","8.88","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Call of Duty: Advanced Warfare","United States of America","Official","Activision","Sledgehammer Games","Jan 25 2022","CIB","6.02","6.41","9.75","6.41","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty: Black Ops","United States of America","Official","Activision","Treyarch","Jan 16 2022","CIB","7.81","11.14","45.49","11.14","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty: Black Ops","United States of America","Official","Activision","Treyarch","Jan 16 2022","CIB","7.81","11.14","45.49","11.14","-1.0","?","?","?","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty: Black Ops II","United States of America","Official","Activision","Treyarch","Jan 16 2022","CIB","14.47","18.01","40.79","18.01","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Call of Duty: Black Ops III","United States of America","Official","Activision","Activision","Jan 25 2022","CIB","7.52","9.49","15.02","9.49","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Call of Duty: Ghosts","United States of America","Official","Activision","Infinity Ward","Jan 25 2022","CIB","9.77","11.31","22.36","11.31","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Call of Duty: Infinite Warfare [Legacy Edition]","United States of America","Official","Activision","Infinity Ward","Jan 25 2022","CIB","7.2","7.75","20.99","7.75","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty: Modern Warfare 2","United States of America","Official","Activision","Infinity Ward","Jan 16 2022","CIB","6.28","7","45.13","7","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty: Modern Warfare 2","United States of America","Official","Activision","Infinity Ward","Jan 16 2022","CIB","6.28","7","45.13","7","-1.0","?","?","?","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty: Modern Warfare 2","United States of America","Official","Activision","Infinity Ward","Jan 16 2022","CIB","6.28","7","45.13","7","-1.0","?","?","?","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty: Modern Warfare 3","United States of America","Official","Activision","Infinity Ward","Jan 16 2022","CIB","6.36","8.07","23.67","8.07","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty: World at War","United States of America","Official","Activision","Treyarch","Jan 16 2022","CIB","6.84","9.05","50.49","9.05","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Call of Duty: World At War - Final Fronts [Greatest Hits]","United States of America","Official","Activision","Missing Field","Mar 6 2024","CIB","6.49","7.24","25.47","7.24","-1.0","10","10","10","",""
"Sony PlayStation 4","Games","Owned","Call of Duty: WWII","United States of America","Official","Activision","Sledgehammer Games","Jan 25 2022","CIB","7.43","8.07","20.48","8.07","-1.0","10","10","10","",""
"Sony PlayStation 4","Games","Owned","Call of Duty: WWII [Valor Collection]","United States of America","Official","Activision","Missing Field","Jan 27 2022","CIB","38.06","38.49","73.04","38.49","-1.0","10","10","10","",""
"Nintendo GameCube","Games","Owned","Capcom vs. SNK 2 EO","United States of America","Official","Capcom","Capcom","Jan 17 2022","CIB","37","60.49","105.19","60.49","-1.0","10","10","10","",""
"Nintendo Wii","Games","Owned","Carnival Games","United States of America","Official","2K Play","Cat Daddy Games LLC","Jan 17 2022","CIB","6.4","6.81","13.51","6.81","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Carnival Games: Monkey See Monkey Do","United States of America","Official","2K Games","Missing Field","Jan 16 2022","CIB","6.49","7.87","9.98","7.87","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","Carrier","United States of America","Official","Jaleco Ltd.","Jaleco Ltd.","Jan 25 2022","CIB","20.48","48.66","58.84","48.66","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","CART Flag to Flag","United States of America","Official","Sega of America Inc.","Zoom","Jan 25 2022","CIB","10.11","10.48","30.63","10.48","-1.0","10","10","10","",""
"Nintendo Game Boy Advance","Games","Owned","Castlevania: Aria of Sorrow","United States of America","Official","Konami","Konami","Jan 18 2022","CIB","73.75","191","286.5","191","-1.0","10","10","10","",""
"Microsoft Xbox","Games","Owned","Castlevania: Curse of Darkness","United States of America","Official","Konami","Konami","Jan 16 2022","CIB","15.49","26.58","70.88","26.58","-1.0","10","10","10","",""
"Nintendo DS","Games","Owned","Castlevania: Dawn of Sorrow","United States of America","Official","Konami","Konami","Jan 18 2022","CIB","32.74","48.83","133.6","48.83","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Castlevania: Lament of Innocence","United States of America","Official","Konami","Konami","Jan 18 2022","CIB","16.14","21.44","128.47","21.44","-1.0","10","10","10","",""
"Sony PlayStation","Games","Owned","Castlevania: Symphony of the Night","United States of America","Official","Konami","Konami","Jan 30 2022","CIB","64.95","165.92","272.41","165.92","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","Championship Surfer","United States of America","Official","Mattel Interactive","Krome Studios Pty Ltd.","Jan 30 2022","CIB","7.74","9.52","17.98","9.52","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Child of Eden","United States of America","Official","Ubisoft Entertainment","Q Entertainment","Jan 16 2022","CIB","5.67","8.07","9.5","8.07","-1.0","10","10","10","",""
"Nintendo DS","Games","Owned","Children of Mana","United States of America","Official","Square Enix","Square Enix","Jan 18 2022","CIB","13.94","24.25","76.88","24.25","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Chronicles of Riddick: Assault on Dark Athena","United States of America","Official","Atari SA","Starbreeze Studios AB","Jan 16 2022","CIB","14.97","19.95","50.49","19.95","-1.0","10","10","10","",""
"Microsoft Xbox","Games","Owned","Chronicles of Riddick: Escape from Butcher Bay","United States of America","Official","VU Games","Starbreeze Studios AB","Jan 16 2022","CIB","10.49","11.1","40.49","11.1","-1.0","10","10","10","",""
"Nintendo Game Boy Advance","Systems","Owned","Cobalt Gameboy Advance SP","United States of America","Official","Nintendo","Nintendo","Aug 22 2022","Loose","81.11","175.5","355.5","81.11","-1.0","8","?","?","",""
"Sony PlayStation 2","Games","Owned","College Hoops 2K8","United States of America","Official","2K Sports","Visual Concepts","Mar 3 2024","CIB","12.5","15.93","25.01","15.93","-1.0","10","10","10","",""
"Nintendo GameCube","GameAccessories","Owned","Component Video Cables","United States of America","Official","Nintendo","Missing Field","Jan 30 2022","Loose","250.27","301.35","872.5","250.27","-1.0","10","?","?","",""
"Sony PlayStation 3","Games","Owned","Conan","United Kingdom","Official","THQ","Nihilistic Software","Aug 19 2023","CIB","6.24","6.84","24.67","6.84","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Conflict: Desert Storm","United States of America","Official","SCi Games Ltd.","Pivotal Games Ltd.","Mar 6 2024","CIB","6.49","7.69","22.99","7.69","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Conflict: Desert Storm II - Back to Baghdad","United States of America","Official","SCi Games Ltd.","Pivotal Games Ltd.","Mar 6 2024","CIB","8.93","9.08","21.5","9.08","-1.0","10","10","10","",""
"Sony PlayStation","Games","Owned","Cool Boarders 2","United States of America","Official","Sony Computer Entertainment","UEP Systems","Jan 31 2022","CIB","6.37","7.72","84.25","7.72","-1.0","10","10","10","",""
"Sony PlayStation","Games","Owned","Cool Boarders 3","United States of America","Official","Sony","Idol Minds","Jan 31 2022","CIB","4.2","5.75","30.45","5.75","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Crackdown","United States of America","Official","Microsoft Studios","Real Time Worlds","Jan 16 2022","CIB","4.69","5.08","24.56","5.08","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Crackdown 2","United States of America","Official","Microsoft Studios","Ruffian Games","Jan 16 2022","CIB","5.61","5.96","18.61","5.96","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Crazy Taxi","United States of America","Official","Sega","Acclaim","Jan 18 2022","CIB","7.85","10.5","149.84","10.5","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","Crazy Taxi","United States of America","Official","Sega","Hitmaker","Jan 25 2022","CIB","18.57","28.57","88.14","28.57","-1.0","10","10","10","",""
"Microsoft Xbox","Games","Owned","Crimson Skies: High Road To Revenge","United States of America","Official","Microsoft Studios","FASA Studio","Jan 16 2022","CIB","4.02","5.11","25.49","5.11","-1.0","10","10","10","",""
"Skylanders","ToysToLife","Owned","Crypt Crusher - SuperChargers","","Official","Activision","Missing Field","Feb 8 2022","New","8.5","?","6.69","6.69","-1.0","?","10","?","",""
"Microsoft Xbox 360","Games","Owned","Crysis 2","United States of America","Official","Electronic Arts","Crytek GmbH","Jan 16 2022","CIB","5.22","7.15","12.52","7.15","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Cyberpunk 2077","United States of America","Official","CD Projekt Warner Bros. Interactive Entertainment","CD Projekt RED Sp. z o.o.","Jan 25 2022","CIB","12.49","13.7","17.23","13.7","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","D2","United States of America","Official","Sega","Warp Inc.","Jan 25 2022","CIB","115.78","182.59","225.49","182.59","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Dance Central","United States of America","Official","MTV Games","Harmonix Music Systems","Jan 16 2022","CIB","3.95","5.44","9.49","5.44","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Trade/Sell","Dance Central","United States of America","Official","MTV Games","Harmonix Music Systems","Nov 20 2021","CIB","3.95","5.44","9.49","5.44","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Dance Central 2","United States of America","Official","Harmonix Music Systems Inc.","Harmonix Music Systems","Jan 16 2022","CIB","5.38","6.38","12.45","6.38","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Trade/Sell","Dance Central 2","United States of America","Official","Harmonix Music Systems Inc.","Harmonix Music Systems","Nov 20 2021","CIB","5.38","6.38","12.45","6.38","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Dance Central 3","United States of America","Official","Harmonix Music Systems Inc.","Backbone Entertainment","Jan 16 2022","New","8.73","10.87","15.97","15.97","-1.0","?","10","?","",""
